"sector-type","post_title","p_owner","p_client","disciplines","p_location","scope_of_work","project-category","p_status","p_start_date","p_end_date","p_year","feature image","feature image_url"
"Petrochemical","To Supply Scaffolding Services","SADARA","SADARA","Scaffolding Services","Jubail","The scope of work includes the supplying, rigging, erecting, and dismantling of tower built scaffolding, independent tied scaffolding, suspended scaffolding, cantilevered scaffolding, special scaffolding, mobile tower scaffolding, vessel/column/tank exterior scaffolding, and vessel/ column/tank interior scaffolding, and the provision of scaffolding maintenance services including site cleanup. ","Normal","Completed","Oct-15","Mar-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Installation of DEG Aldehyde Removal System (EG-1)","SABIC","UNITED","Plant Services","Jubail","Scope of Work includes Procurement, Designing, Engineering including following activities
Piping Modification for the installation of BED Drum & PSV. Scaffolding,  Construction of RCC foundation, Electrical & Instrumentation Work includes Design, Engineering, Supply , Installation and function testing of Rotameter, Pressure Guages, Transmitters, Cable Pulling & Installation of Conduit from new instrument to the existing Ones. Relay setting, Testing & Commissioning. ","Normal","Completed","Oct-15","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Mining & Minerals","18% FSA Line & Belt Filter Close Loop Washing Spill Back Line","MA'ADEN","Ma'aden Phosphate","Plant Services","Jubail","'18% FSA Line & Belt Filter Close Loop Washing Spill Back Line","Normal","Completed","Mar-15","Mar-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Petrochemical","Installation of Drum Loading Station","SABIC","UNITED","Plant Services","Jubail","This project involves all the discipline Mechanical, E & I, Civil, Scaffolding. Fabrication and Erection of Piping and Pipe Supports, Erection of Steel Structure, Fiber Optic Cable and Power Cable Laying, along with Civil, Scaffolding works,","Normal","Completed","Oct-15","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Metal","69649253 Mechanical Installation DEDUSTING / HADEED","SABIC / HADEED","SAUDI VOEST - ALPINE","Plant Services","Jubail","The poject involves Mechanical Installation Desdusting including Piping, Equipment Erection and Structural Erection works.","Normal","Completed","Jul-15","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Metal","69649253 Mechanical Installation MaterialHandling Services","SABIC / HADEED","SAUDI VOEST - ALPINE","Plant Services","Jubail","The project involves Material Handling Services including Equipment Erection and Structural Erec ction works.","Normal","Completed","Jul-15","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Metal","Hadeed - SPLP1, Upgradation of CCM3, Dedusting System / Material Handling System","SABIC / HADEED","SAUDI VOEST - ALPINE","Electrical & Instrumentation","Jubail","Project  involves upgradation Continious Casting Machine, Dedusting Plant & Material Handling System. Disconnection and Reconnection of 3.5MVA oil Transformer, Installation and Connection of Cast Resin Transformer (1.6MVA & 1.25MVA), Upgradation of vibrating Feeder of Silos, Conveyor Belt Electrics & Automation. Removal & Installation of Panels (New Dedusting Electric Building, Material Handling Load Center Room, Kuttner Room, EAF1PLC Room).  Dismantling entire existing CCM3 equipment, structure and piping. Disposal of all dismantled Structures, Equipment at Hadeed laydown area. Installation of new Structures and Equipment. Installation of Utility Equipment. ","Major","Completed","Jun-15","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Oil & Gas","Controlled Bolting & onsite machining services for DGA shutdown","Saudi Aramco","Aramco Khurais","Bolt Integrity Solutions","Khurais","Controlled Bolting & onsite machining services for DGA shutdown","Normal","Completed","Jun-15","Apr-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","1EG Piping and Valves Repair Works (Area12&14)","SABIC","SHARQ","Plant Services","Jubail","Project involves  repair of piping and valves in 1EG plant during 2015 TAM. The scope involves pre-fabrication activities, Tagging of jobs, Radiography & toucup painting, ","Normal","Completed","Jun-15","Dec-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Thermal Exp. Vessel construction","SABIC","SAUDI KAYAN","Plant Services","Jubail","Project scope includes Engineering, procurement, supply, installation, testing and pre commissioning of new EO Thermal expansion vessel at SAUDI KAYAN Plant. The brief scope includes Design and detail engineering works for new EO Thermal expansion vessel installation, Supply of 01 EO Thermal expansion vessel, related piping and instruments, Civil foundation works for New EO Thermal expansion vessel, Supply, fabrication, erection and modification of piping, Painting and insulation works, Cable laying for instruments, Provision of instruments stanchions, transmitter sun shade and tube fittings, Configure new AO Card in the system, DCS Configuration & Scaffolding","Normal","Completed","Jun-15","Aug-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/2.png"
"Petrochemical","Flame Scanner in Olefins Plant ","SABIC","SHARQ","Plant Services","Jubail","Project involves Design and Detailed Engineering, of Upgradation of Replacing UV-IR type Flame Scanner. Procure  Flame Scanner, Instrument Cables, involving Dismantling & Installation of Flame Scanner, Cabling with JB's, DCS and BMS configuration, Testing & Commissioning.","Normal","Completed","May-15","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Metal","Dismantling, Mechanical Installation, Installation Utility Equipment and Piping CCM & WTP
HADEED SPLP1 - Upgradation of CCM3","SABIC / HADEED","SAUDI VOEST - ALPINE","Plant Services","Jubail","Project involves:-
• Provision of Temporary facilities.
• Dismantling & Installation of Steel Structure.
• Removal & Erection of Mechanical Equipment.
• Removal / Installation of Piping & Utility Equipment along with modification in  existing system.","Major","Completed","Jun-15","Jan-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/16.png"
"Petrochemical","Upgrade Transformers 6 & 7 with Power Cables","SABIC","AL-BAYRONI","Plant Services","Jubail","Project involves Design and Detailed Engineering of upgradation of transformers, Removal & Installation of Transformer shed, Dismantling & Installation of New Transformer, Modification of New Civil Foundation and Roof structural works including dismantling of existing 1.5MVA Transformer, LV bus duct, Relay setting for upstream and downstream, Testing & Commissioning.","Normal","Completed","May-15","Dec-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/12.png"
"Petrochemical","MP & LP steam line form utility to UGAA plant","SABIC ","SAFCO","Plant Services","Jubail","The project involves installation of MP and LP steam lines from SF2 for UGAA plant, including Design & Detailed Engineering, Procurement of material, Installation of 3"" MP steamline & Installation of 4"" LP steamline, Scaffolding works, INsulation works, painting, sand blasting, Testing & Commissioning","Normal","Completed","Jun-15","May-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/17.png"
"Petrochemical","Cooling Water Pump (X-201J-A/B) & U-200J/A) Piping 3D TRACER ONLINE ANALYZERS","SABIC","IBN AL-BAYTAR","Plant Services","Jubail","Project involves Design, Engineering & Installation of 3D Tracer along with steel structure shed, civil foundation, related PVC piping and E&I work.","Normal","Completed","Apr-15","Aug-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","Preventing air entry to Flare Header","SABIC","SHARQ","Plant Services","Jubail","Project involves Design, Procurement of Material, Installation of Valves, Testing & Commissioning including Supply and Installation of Valves, Digital JB's (EExd), DI DCS Modules along with Scaffolding activities.","Normal","Completed","May-15","Nov-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/13.png"
"Petrochemical","EPC PR for Shut off Valve","SABIC","IBN-SINA","Plant Services","Jubail","Project involves Design and Detailed Engineering, Supply of Materials, Installation, Testing and Commissioning to provide Trip Valve with Trip Logic on LP Steam Line going to DIB Re-Boilers along with Cutting, Demolition Piping, Scafolding works, Conduit Installation, Cable Laying,Glanding and Termination.","Normal","Completed","Mar-15","Sep-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/10.png"
"Petrochemical","Replace Oxygen Mixing Station with N2 Line","SABIC","SAUDI KAYAN","Plant Services","Jubail","Project involves Supply, Fabrication, Installation, Demolition and Commissioning works for Installation of Oxygen Mixing Station (OMS) with related Nitrogen lines & Valvesin order to maintain the integrity of the OMS system along with associated Nitrogen system.","Normal","Completed","Mar-15","May-17","Jul-05","",""
"Petrochemical","Upgrade of PO4 and Eliminox Pumps","SABIC","SADAF","Plant Services","Jubail","Project involves Detail Design & Engineering, Procurement, Fabrication and Supply of material, Modification of Civl Foundation, piping installation with its fittings and valves, Electrical cables and power supply, DCS for pump connection. Including scope to  replace existing chemical injection metering (dosing) of four (4no.) Eliminox and eight (8No.) Phosphates pumps with new modified type of dosing pumps including supply of one (1No.) Eliminox and three (3No.) Phosphate pumps as spare.","Normal","Completed","Mar-15","Mar-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Mining & Minerals","General Construction Services","MA'ADEN","Ma'aden Aluminium","Plant Services","Ras Al-Khair","This is a long form contarct which involves Civil & structural works, Pipe works & Valves, Equipment Erection, Mechanical & Electrical Installations, Instrumentation, Painting and Insulation works. ","Normal","Completed","May-15","May-17","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/18.png"
"Mining & Minerals","Scaffolding Erection and Dismantling during PAP T/A 2015","MA'ADEN","MA'ADEN PHOSPHATE","Scaffolding Services","Ras Al-Khair","Project involves Scaffolding works during Turn Around 2015 PAP plant.","Normal","Completed","Dec-14","Feb-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/20.png"
"Oil & Gas","E & I Work For Aramco COGEN Project","Saudi Aramco","SAMSUNG","Electrical & Instrumentation","Abqaiq","Project involves Electrical, Instrumentation, Installation of Cable Tray, Cable Pulling, Lighting, Instrument Installation, Testing, Loop Checking, Transformer Installation, Transformer Testing, Transformer Commissioning, Switch Gear Panel Installation, Field Panel, Termination, Glanding & Grounding.","Major","Completed","Jan-15","Aug-16","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/1.png"
"Petrochemical","Additional NRV's 14 No.s (ADAMS make) at downstream of furnace of OLEFIN-II plant","SABIC","PetroKemya","Plant Services","Jubail","Project involves Engineering, Procurement, Construction, Installation, Inspection, Testing, Pre-Commissioning and Commissioning of additional NRVS 14 Nos (ADAMS make) at downstream of furnaces of OLEFIN-II plant.","Normal","Completed","Mar-15","Oct-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/15.png"
"Petrochemical","Facility Type Pressure Control Valve PR-Secondary Containment 44TK7-UDD","SABIC","SADAF","Plant Services","Jubail","Project involves Engineering, Procurement, Construction & Installation of New Secondary Containment for tanks 44TK7, 44TK8 & TTK9 at UDD.","Normal","Completed","Apr-15","Sep-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/3.png"
"Petrochemical","Train 3 Reactor UT Bolt measurement","SADARA","SADARA","Bolt Integrity Solutions","Jubail","Project involves provision of Specialized Services to cover Ultrasonic Bolt Elongation measurement on the applications as listed below table at Sadara Project Site. ","Normal","Completed","Mar-15","Sep-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
"Petrochemical","Bolt Torquing Services at SADARA Isocynates Plant Project","SADARA","DAELIM","Bolt Integrity Solutions","Jubail","Project includes Bolt Torquing services of  joints related to Agitator Unit assembly and the stud bolts are coated and one end driven into the body of the Vessel and the other end have standard Heavy Hex nut.","Normal","Completed","Oct-14","Jul-15","Jul-05","","http://sendanit.com/sendan_web/wp-content/uploads/2020/05/23.png"
